id,collection_id,prompt_id
1,1,515
2,1,530
3,1,540
4,2,508
5,2,514
6,2,550
8,1,527
9,1,531
10,1,535
11,1,505
12,2,532
13,2,545
14,2,555
15,3,509
16,3,521
17,3,548
18,4,505
19,4,513
20,4,517
21,4,534
22,4,539
23,4,546
24,4,559
25,5,510
26,5,512
27,5,551
28,5,519
29,5,544
30,6,506
31,6,524
32,6,540
33,6,554
35,7,507
36,7,520
37,7,522
38,7,529
39,7,538
40,7,542
41,7,552
42,7,560
43,7,561
44,7,566
45,8,518
46,8,525
47,8,533
48,8,537
49,8,558
50,8,569
51,9,516
52,9,526
53,9,528
54,9,562
55,10,553
56,10,570
57,11,523
58,11,536
59,11,541
60,11,567
61,12,511
62,12,543
63,12,547
64,12,549
65,10,530
66,10,544
67,7,550
68,7,524
69,6,563
70,4,556
71,5,557
72,5,564
73,4,565
74,3,568
75,9,571
76,9,572
77,9,573
78,9,574
79,9,575
80,9,576
81,3,577
82,3,578
83,3,579
84,3,580
85,3,581
86,12,582
87,12,583
88,12,584
89,12,585
90,12,586
91,10,587
92,10,588
93,10,589
94,10,590
95,10,591
96,11,592
97,11,593
98,11,594
99,11,595
100,1,596
101,1,597
102,1,598
103,1,599
104,1,600
105,1,601
106,1,602
107,1,603
108,7,604
109,7,605
110,7,606
111,7,607
112,7,608
113,7,609
114,7,610
115,4,611
116,4,612
117,4,613
118,4,614
119,4,615
120,6,616
121,6,617
122,6,618
123,5,619
124,5,620
125,1,621
126,1,622
127,1,623
128,1,624
129,1,625
130,1,667
131,2,636
132,2,637
133,2,638
134,2,639
135,3,626
136,3,627
137,3,628
138,3,629
139,3,668
140,4,644
141,4,645
142,4,646
143,4,647
144,4,648
145,4,649
146,5,659
147,5,660
148,5,661
149,6,640
150,6,641
151,6,642
152,6,643
153,7,630
154,7,631
155,7,632
156,7,633
157,7,634
158,7,635
159,7,669
160,7,670
161,8,650
162,8,651
163,8,652
164,9,665
165,9,666
166,10,662
167,10,663
168,10,664
169,11,656
170,11,657
171,11,658
172,12,653
173,12,654
174,12,655
